game_id,input_sequence,target_move
xPgujr21,,e4
xPgujr21,e4 d5,exd5
xPgujr21,e4 d5 exd5 Qxd5,Nc3
xPgujr21,e4 d5 exd5 Qxd5 Nc3 Qe5+,Be2
xPgujr21,e4 d5 exd5 Qxd5 Nc3 Qe5+ Be2 Nc6,Nf3
xPgujr21,e4 d5 exd5 Qxd5 Nc3 Qe5+ Be2 Nc6 Nf3 Qf5,O-O
xPgujr21,e4 d5 exd5 Qxd5 Nc3 Qe5+ Be2 Nc6 Nf3 Qf5 O-O Bd7,d3
xPgujr21,e4 d5 exd5 Qxd5 Nc3 Qe5+ Be2 Nc6 Nf3 Qf5 O-O Bd7 d3 Nb4,Be3
xPgujr21,e4 d5 exd5 Qxd5 Nc3 Qe5+ Be2 Nc6 Nf3 Qf5 O-O Bd7 d3 Nb4 Be3 O-O-O,Bxa7
xPgujr21,e4 d5 exd5 Qxd5 Nc3 Qe5+ Be2 Nc6 Nf3 Qf5 O-O Bd7 d3 Nb4 Be3 O-O-O Bxa7 b6,d4
xPgujr21,e4 d5 exd5 Qxd5 Nc3 Qe5+ Be2 Nc6 Nf3 Qf5 O-O Bd7 d3 Nb4 Be3 O-O-O Bxa7 b6 d4 Qxc2,Qxc2
xPgujr21,e4 d5 exd5 Qxd5 Nc3 Qe5+ Be2 Nc6 Nf3 Qf5 O-O Bd7 d3 Nb4 Be3 O-O-O Bxa7 b6 d4 Qxc2 Qxc2 Nxc2,Ba6#
M00OhEMk,,e4
M00OhEMk,e4 e5,f3
M00OhEMk,e4 e5 f3 Nc6,g3
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5,Bh3
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6,c3
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6,Na3
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1,Rxg1
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3,d4
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4,cxd4
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O,b4
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4,e5
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5,dxe5
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+,Kxd1
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5,Rb1
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+,Kd2
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+,Nxb1
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2,Re1
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+,Kc2
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+,Re4
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+,fxe4
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1,Kxc1
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4,g4
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4,Kc2
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4,Kc3
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8,h3
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+,Kc4
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+ Kc4 Rxh3,Kc5
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+ Kc4 Rxh3 Kc5 b6+,Kc4
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+ Kc4 Rxh3 Kc5 b6+ Kc4 Rh4+,Kb5
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+ Kc4 Rxh3 Kc5 b6+ Kc4 Rh4+ Kb5 Rd5+,Kc6
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+ Kc4 Rxh3 Kc5 b6+ Kc4 Rh4+ Kb5 Rd5+ Kc6 Rxe5,Nc3
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+ Kc4 Rxh3 Kc5 b6+ Kc4 Rh4+ Kb5 Rd5+ Kc6 Rxe5 Nc3 Rc4+,Kb7
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+ Kc4 Rxh3 Kc5 b6+ Kc4 Rh4+ Kb5 Rd5+ Kc6 Rxe5 Nc3 Rc4+ Kb7 Rxc3,Ka6
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+ Kc4 Rxh3 Kc5 b6+ Kc4 Rh4+ Kb5 Rd5+ Kc6 Rxe5 Nc3 Rc4+ Kb7 Rxc3 Ka6 Ra5+,Kb7
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+ Kc4 Rxh3 Kc5 b6+ Kc4 Rh4+ Kb5 Rd5+ Kc6 Rxe5 Nc3 Rc4+ Kb7 Rxc3 Ka6 Ra5+ Kb7 c5,Kc7
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+ Kc4 Rxh3 Kc5 b6+ Kc4 Rh4+ Kb5 Rd5+ Kc6 Rxe5 Nc3 Rc4+ Kb7 Rxc3 Ka6 Ra5+ Kb7 c5 Kc7 Rd3,Kb7
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+ Kc4 Rxh3 Kc5 b6+ Kc4 Rh4+ Kb5 Rd5+ Kc6 Rxe5 Nc3 Rc4+ Kb7 Rxc3 Ka6 Ra5+ Kb7 c5 Kc7 Rd3 Kb7 c4,Kc6
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+ Kc4 Rxh3 Kc5 b6+ Kc4 Rh4+ Kb5 Rd5+ Kc6 Rxe5 Nc3 Rc4+ Kb7 Rxc3 Ka6 Ra5+ Kb7 c5 Kc7 Rd3 Kb7 c4 Kc6 Rc5+,Kb7
M00OhEMk,e4 e5 f3 Nc6 g3 Bc5 Bh3 Nf6 c3 d6 Na3 Bxg1 Rxg1 Bxh3 d4 exd4 cxd4 O-O b4 Nxb4 e5 dxe5 dxe5 Qxd1+ Kxd1 Nfd5 Rb1 Nc3+ Kd2 Nxb1+ Nxb1 Nxa2 Re1 Rad8+ Kc2 Bf5+ Re4 Bxe4+ fxe4 Nxc1 Kxc1 Rd4 g4 Rxe4 Kc2 Rxg4 Kc3 Rd8 h3 Rg3+ Kc4 Rxh3 Kc5 b6+ Kc4 Rh4+ Kb5 Rd5+ Kc6 Rxe5 Nc3 Rc4+ Kb7 Rxc3 Ka6 Ra5+ Kb7 c5 Kc7 Rd3 Kb7 c4 Kc6 Rc5+ Kb7 Rd7+,Ka6
Og9t31ml,e4,e5
Og9t31ml,e4 e5 Nf3,g5
Og9t31ml,e4 e5 Nf3 g5 Nxe5,Bg7
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3,f6
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4,c6
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4,Ne7
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2,d5
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5,cxd5
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+,Nbc6
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+,Ng6
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3,O-O
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6,hxg6
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6,Qd7
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O,Nxd4
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3,Nxc2
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2,Re8
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3,f5
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5,a6
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3,b5
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3,Qe7
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+,Kf8
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+ Kf8 Nxd5,Qd6
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+ Kf8 Nxd5 Qd6 Rd1,Re2
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+ Kf8 Nxd5 Qd6 Rd1 Re2 Nc3,Rc2
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+ Kf8 Nxd5 Qd6 Rd1 Re2 Nc3 Rc2 Rxd6,Ke8
Og9t31ml,e4 e5 Nf3 g5 Nxe5 Bg7 Nf3 f6 d4 c6 Bc4 Ne7 Nfd2 d5 exd5 cxd5 Bb5+ Nbc6 Qh5+ Ng6 Bd3 O-O Bxg6 hxg6 Qxg6 Qd7 O-O Nxd4 Nc3 Nxc2 Qxc2 Re8 Nf3 f5 Nxg5 a6 Qd3 b5 Qh3 Qe7 Qh7+ Kf8 Nxd5 Qd6 Rd1 Re2 Nc3 Rc2 Rxd6 Ke8 Qxg7,Re2
a98pKgx0,Nf3,b6
a98pKgx0,Nf3 b6 g3,Bb7
a98pKgx0,Nf3 b6 g3 Bb7 Bg2,c5
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O,d5
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3,d4
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1,g6
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4,Bg7
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2,Nh6
a98pKgx0,Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4,O-O
