input_sequence,target_move
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3,Nc6
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2,f5
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5,Qe8
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2,Bg7
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5,Bh6
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4,Rd8
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6,b5
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8,bxc4
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6,cxd3
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3,Nb4
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2,Bc8
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5,e6
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4,Rd5
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5,exd5
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4,Be6
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6,Qxe6
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1,Bg7
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5,Kf7
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+,Kxe6
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8,h5
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+,Kf7
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1,Bf8
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+,Be7
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+ Be7 R1d6,Ke8
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+ Be7 R1d6 Ke8 Rxa7,Kf7
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+ Be7 R1d6 Ke8 Rxa7 Kf7 Rdd7,Ke6
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+ Be7 R1d6 Ke8 Rxa7 Kf7 Rdd7 Ke6 Rxe7+,Kd5
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+ Be7 R1d6 Ke8 Rxa7 Kf7 Rdd7 Ke6 Rxe7+ Kd5 e6,Ke4
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+ Be7 R1d6 Ke8 Rxa7 Kf7 Rdd7 Ke6 Rxe7+ Kd5 e6 Ke4 Rg7,Kf3
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+ Be7 R1d6 Ke8 Rxa7 Kf7 Rdd7 Ke6 Rxe7+ Kd5 e6 Ke4 Rg7 Kf3 Rxg6,Ke2
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+ Be7 R1d6 Ke8 Rxa7 Kf7 Rdd7 Ke6 Rxe7+ Kd5 e6 Ke4 Rg7 Kf3 Rxg6 Ke2 e7,Kd2
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+ Be7 R1d6 Ke8 Rxa7 Kf7 Rdd7 Ke6 Rxe7+ Kd5 e6 Ke4 Rg7 Kf3 Rxg6 Ke2 e7 Kd2 Rc7,Ke2
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+ Be7 R1d6 Ke8 Rxa7 Kf7 Rdd7 Ke6 Rxe7+ Kd5 e6 Ke4 Rg7 Kf3 Rxg6 Ke2 e7 Kd2 Rc7 Ke2 e8=Q+,Kf3
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+ Be7 R1d6 Ke8 Rxa7 Kf7 Rdd7 Ke6 Rxe7+ Kd5 e6 Ke4 Rg7 Kf3 Rxg6 Ke2 e7 Kd2 Rc7 Ke2 e8=Q+ Kf3 Qc6+,Ke3
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+ Be7 R1d6 Ke8 Rxa7 Kf7 Rdd7 Ke6 Rxe7+ Kd5 e6 Ke4 Rg7 Kf3 Rxg6 Ke2 e7 Kd2 Rc7 Ke2 e8=Q+ Kf3 Qc6+ Ke3 Qc3+,Ke4
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+ Be7 R1d6 Ke8 Rxa7 Kf7 Rdd7 Ke6 Rxe7+ Kd5 e6 Ke4 Rg7 Kf3 Rxg6 Ke2 e7 Kd2 Rc7 Ke2 e8=Q+ Kf3 Qc6+ Ke3 Qc3+ Ke4 Re7+,Kd5
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+ Be7 R1d6 Ke8 Rxa7 Kf7 Rdd7 Ke6 Rxe7+ Kd5 e6 Ke4 Rg7 Kf3 Rxg6 Ke2 e7 Kd2 Rc7 Ke2 e8=Q+ Kf3 Qc6+ Ke3 Qc3+ Ke4 Re7+ Kd5 Qd3+,Kc5
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+ Be7 R1d6 Ke8 Rxa7 Kf7 Rdd7 Ke6 Rxe7+ Kd5 e6 Ke4 Rg7 Kf3 Rxg6 Ke2 e7 Kd2 Rc7 Ke2 e8=Q+ Kf3 Qc6+ Ke3 Qc3+ Ke4 Re7+ Kd5 Qd3+ Kc5 Re5+,Kb4
Nf3 b6 g3 Bb7 Bg2 c5 O-O d5 d3 d4 Re1 g6 e4 Bg7 Nbd2 Nh6 Nc4 O-O Bg5 f6 Bxh6 Bxh6 Bh3 Nc6 Qe2 f5 e5 Qe8 Bg2 Bg7 Ng5 Bh6 f4 Rd8 Ne6 b5 Nxf8 bxc4 Ne6 cxd3 Qxd3 Nb4 Qd2 Bc8 Nxc5 e6 Qxb4 Rd5 Bxd5 exd5 Qxd4 Be6 Nxe6 Qxe6 Rad1 Bg7 Qxd5 Kf7 Qxe6+ Kxe6 Rd8 h5 Rd6+ Kf7 Red1 Bf8 Rd7+ Be7 R1d6 Ke8 Rxa7 Kf7 Rdd7 Ke6 Rxe7+ Kd5 e6 Ke4 Rg7 Kf3 Rxg6 Ke2 e7 Kd2 Rc7 Ke2 e8=Q+ Kf3 Qc6+ Ke3 Qc3+ Ke4 Re7+ Kd5 Qd3+ Kc5 Re5+ Kb4 Rb6+,Ka4
e4,b6
e4 b6 d4,Bb7
e4 b6 d4 Bb7 d5,c5
e4 b6 d4 Bb7 d5 c5 Nf3,d6
e4 b6 d4 Bb7 d5 c5 Nf3 d6 Nc3,e5
e4 b6 d4 Bb7 d5 c5 Nf3 d6 Nc3 e5 Bg5,f6
e4 b6 d4 Bb7 d5 c5 Nf3 d6 Nc3 e5 Bg5 f6 Bh4,g5
e4 b6 d4 Bb7 d5 c5 Nf3 d6 Nc3 e5 Bg5 f6 Bh4 g5 Bg3,Nh6
e4 b6 d4 Bb7 d5 c5 Nf3 d6 Nc3 e5 Bg5 f6 Bh4 g5 Bg3 Nh6 Bc4,a5
e4 b6 d4 Bb7 d5 c5 Nf3 d6 Nc3 e5 Bg5 f6 Bh4 g5 Bg3 Nh6 Bc4 a5 O-O,Be7
e4 b6 d4 Bb7 d5 c5 Nf3 d6 Nc3 e5 Bg5 f6 Bh4 g5 Bg3 Nh6 Bc4 a5 O-O Be7 Nd2,Rg8
e4 b6 d4 Bb7 d5 c5 Nf3 d6 Nc3 e5 Bg5 f6 Bh4 g5 Bg3 Nh6 Bc4 a5 O-O Be7 Nd2 Rg8 Qh5+,Nf7
e4 b6 d4 Bb7 d5 c5 Nf3 d6 Nc3 e5 Bg5 f6 Bh4 g5 Bg3 Nh6 Bc4 a5 O-O Be7 Nd2 Rg8 Qh5+ Nf7 Qxh7,Kd7
e4 b6 d4 Bb7 d5 c5 Nf3 d6 Nc3 e5 Bg5 f6 Bh4 g5 Bg3 Nh6 Bc4 a5 O-O Be7 Nd2 Rg8 Qh5+ Nf7 Qxh7 Kd7 Qf5+,Ke8
